"adm1","adm3","pop","year","population"
"Bo District","Badjia Chiefdom","pop","2021","9518"
"Bo District","Badjia Chiefdom","pop","2022","9743"
"Bo District","Badjia Chiefdom","pop","2023","10033"
"Bo District","Badjia Chiefdom","pop","2024","10289"
"Bo District","Badjia Chiefdom","pop","2025","10544.710349190093"
"Bo District","Bargbo Chiefdom","pop","2021","30285"
"Bo District","Bargbo Chiefdom","pop","2022","31001"
"Bo District","Bargbo Chiefdom","pop","2023","31923"
"Bo District","Bargbo Chiefdom","pop","2024","32737"
"Bo District","Bargbo Chiefdom","pop","2025","33548.71531975186"
"Bo District","Bagbwe Chiefdom","pop","2021","24484"
"Bo District","Bagbwe Chiefdom","pop","2022","25063"
"Bo District","Bagbwe Chiefdom","pop","2023","25809"
"Bo District","Bagbwe Chiefdom","pop","2024","26467"
"Bo District","Bagbwe Chiefdom","pop","2025","27123.110558753964"
"Moyamba District","Bagruwa Chiefdom","pop","2021","32319"
"Moyamba District","Bagruwa Chiefdom","pop","2022","33084"
"Moyamba District","Bagruwa Chiefdom","pop","2023","34068"
"Moyamba District","Bagruwa Chiefdom","pop","2024","34938"
"Moyamba District","Bagruwa Chiefdom","pop","2025","35803.22578125025"
"Port Loko District","Bake-Loko Chiefdom","pop","2021","9095"
"Port Loko District","Bake-Loko Chiefdom","pop","2022","9310"
"Port Loko District","Bake-Loko Chiefdom","pop","2023","9587"
"Port Loko District","Bake-Loko Chiefdom","pop","2024","9832"
"Port Loko District","Bake-Loko Chiefdom","pop","2025","10075.812164514817"
"Pujehun District","Barri Chiefdom","pop","2021","43179"
"Pujehun District","Barri Chiefdom","pop","2022","44201"
"Pujehun District","Barri Chiefdom","pop","2023","45516"
"Pujehun District","Barri Chiefdom","pop","2024","46677"
"Pujehun District","Barri Chiefdom","pop","2025","47833.61353433685"
"Bonthe District","Bendu-Cha Chiefdom","pop","2021","8387"
"Bonthe District","Bendu-Cha Chiefdom","pop","2022","8585"
"Bonthe District","Bendu-Cha Chiefdom","pop","2023","8841"
"Bonthe District","Bendu-Cha Chiefdom","pop","2024","9067"
"Bonthe District","Bendu-Cha Chiefdom","pop","2025","9291.98236326659"
"Bombali District","Biriwa Chiefdom","pop","2021","55348"
